GEOID,NAME,NAMELSAD,Area,STATEFP,2002,2022,NPP_Change,NPP_Change_Percent
01001,Autauga,Autauga County,1539602123,01,0.49220458138185474,0.7574668288638676,0.2652622474820129,53.892681522243116
01003,Baldwin,Baldwin County,4117546676,01,0.7243718078031265,0.8362160217059987,0.11184421390287225,15.44016659649872
01005,Barbour,Barbour County,2292144655,01,0.44532527443294245,0.6826248840511573,0.23729960961821484,53.28680477890722
01007,Bibb,Bibb County,1612167481,01,0.31300535748877606,0.697954796946746,0.38494943945796994,122.98493627917333
01009,Blount,Blount County,1670103911,01,0.4509757808809414,0.7212989533435609,0.27032317246261944,59.94183810371523
01011,Bullock,Bullock County,1613059160,01,0.4666535774522423,0.6576077126718246,0.19095413521958232,40.919890995397914
01013,Butler,Butler County,2012002530,01,0.358039808993109,0.6468675908489282,0.2888277818558192,80.66918108019048
01015,Calhoun,Calhoun County,1569189622,01,0.4778635739225406,0.7523795019159538,0.27451592799341323,57.446506277942625
01017,Chambers,Chambers County,1545085607,01,0.4395893811892012,0.687430817286789,0.2478414360975878,56.38021451453481
01019,Cherokee,Cherokee County,1433623321,01,0.48675045578992326,0.7458074324233515,0.2590569766334282,53.22172245591788
01021,Chilton,Chilton County,1794477075,01,0.4556540319648217,0.7719045334739072,0.3162505015090855,69.40583849228427
01023,Choctaw,Choctaw County,2365869835,01,0.17500795940706063,0.6147088911596017,0.4397009317525411,251.2462480233922
01025,Clarke,Clarke County,3207494111,01,0.21278695904482905,0.615561236036514,0.402774276991685,189.285226312591
01027,Clay,Clay County,1564251835,01,0.38966674039279664,0.6898228655529909,0.30015612516019424,77.02893114706869
01029,Cleburne,Cleburne County,1450663940,01,0.35227336638128326,0.6605229937618723,0.30824962738058903,87.5029612789276
01031,Coffee,Coffee County,1758565925,01,0.5321120869439748,0.7335289042615126,0.2014168173175378,37.85232890955635
01033,Colbert,Colbert County,1535202321,01,0.46014100576287653,0.6229289605142931,0.1627879547514166,35.37784129487164
01035,Conecuh,Conecuh County,2202007854,01,0.43400147179953663,0.7390269048988407,0.3050254330993041,70.2821195132246
01037,Coosa,Coosa County,1685850815,01,0.3763964825964649,0.6958063515913289,0.31940986899486395,84.85995054775887
01039,Covington,Covington County,2669129020,01,0.578663896418839,0.8030536678807983,0.22438977146195938,38.77721987679447
01041,Crenshaw,Crenshaw County,1576952799,01,0.4562207661637542,0.6883951528474355,0.2321743866836813,50.890797592572866
01043,Cullman,Cullman County,1903073019,01,0.4450957427423423,0.6869086138957978,0.2418128711534555,54.32828219465503
01045,Dale,Dale County,1453244553,01,0.5172320134086732,0.744567277244981,0.22733526383630775,43.95228020363979
01047,Dallas,Dallas County,2534919599,01,0.42527671397411826,0.736237660779617,0.3109609468054988,73.11967398817501
01049,DeKalb,DeKalb County,2012676479,01,0.5491536033321319,0.7277195386290018,0.17856593529686993,32.5165735439729
01051,Elmore,Elmore County,1601769095,01,0.4845008668708873,0.6949047383515929,0.21040387148070566,43.426933957741575
01053,Escambia,Escambia County,2448115119,01,0.5705094149408187,0.7775588636624126,0.2070494487215938,36.29203012242522
01055,Etowah,Etowah County,1386373604,01,0.485677208866121,0.7451512973548459,0.2594740884887249,53.42521406234033
01057,Fayette,Fayette County,1625693290,01,0.26421216419347376,0.5837423952589386,0.3195302310654648,120.93698715229608
01059,Franklin,Franklin County,1641841406,01,0.4504040088590167,0.6330532997413147,0.18264929088229803,40.55232353392974
01061,Geneva,Geneva County,1487897666,01,0.5666757971281073,0.749949428324749,0.18327363119664164,32.34188439412197
01063,Greene,Greene County,1675782061,01,0.28579390050382986,0.62643759982586,0.34064369932203015,119.19208167896684
